scraped_at_utc,title,url,score,author
2026-09-03T10:24:39.580394+00:00,Pre-Release of Polars 2.0,https://pola.rs/posts/announcing-polars-2/,156,komape
2026-09-03T10:24:39.580394+00:00,The Browser's Main Thread Is Expensive,https://kciter.so/posts/the-expensive-main-thread/en/,68,kciter
2026-09-03T10:24:39.580394+00:00,Muse Spark 1.3,https://developer.meta.com/ai/models/muse-spark/,586,bvaldivielso
2026-09-03T10:24:39.580394+00:00,Gemini 3.8 Flash and 3.8 Flash Cyber,https://blog.google/innovation-and-ai/models-and-research/gemini-models/3-8-flash-and-3-8-flash-cyber/,1031,bratao
2026-09-03T10:24:39.580394+00:00,Three schoolgirls in Kinsale pulled up a pea plant covered in warts (2016),https://scienceblog.com/b-three-schoolgirls-in-kinsale-pulled-up-a-pea-plant-covered-in-warts-and-instead-of-binning-it-spent-three-years-testing-13000-seeds-in-a-spare-bedroom-the-bacteria-living-in-those-warts-made-barley/,56,DamonHD
2026-09-03T10:24:39.580394+00:00,The Computer Museum of America reclamation project,https://computer-museum.org/wp/,47,rbanffy
2026-09-03T10:24:39.580394+00:00,"Three sites made 215,128 “best software” pages for AI. Perplexity cites them",https://trellner.com/reports/manufactured-sources-behind-ai-recommendations/,421,jakobgreenfeld
2026-09-03T10:24:39.580394+00:00,Google avoids a breakup of its ad tech business,https://www.nytimes.com/2026/09/02/technology/google-ad-tech-remedies.html,392,donohoe
2026-09-03T10:24:39.580394+00:00,Holden's Lightning Flight,https://en.wikipedia.org/wiki/Holden%27s_Lightning_flight,161,ColinWright
2026-09-03T10:24:39.580394+00:00,Can I opt out of my input or output data being used for training?,https://help.mistral.ai/en/articles/455207-can-i-opt-out-of-my-input-or-output-data-being-used-for-training,446,teekert
2026-09-03T10:24:39.580394+00:00,Reverse Engineering Unknown File Formats with ImHex,https://werwolv.net/posts/file_format_reverse_engineering/,209,carlos-menezes
2026-09-03T10:24:39.580394+00:00,What I Learned from My Mom (1941-2026),https://experimentalliving.substack.com/p/what-i-learned-from-my-mom-1941-2026,10,NaOH
2026-09-03T10:24:39.580394+00:00,Higher Multipoles of the Cow,https://arxiv.org/abs/2504.00506,74,MrOrelliOReilly
2026-09-03T10:24:39.580394+00:00,Fable 5.1 World Modeling,https://github.com/PhiloLabs/fable51-worlds,253,surreal_
2026-09-03T10:24:39.580394+00:00,Launch HN: RonanRX (YC S26) – Personalized Peptides and GLP-1s,https://news.ycombinator.com/item?id=49543530,64,lloydarmbrust
2026-09-03T10:24:39.580394+00:00,Biggest dark matter detector spots a single weird particle,https://www.science.org/content/article/world-s-biggest-dark-matter-detector-spots-single-weird-particle,299,randycupertino
2026-09-03T10:24:39.580394+00:00,Aging brains blend memories together instead of just forgetting them,https://studyfinds.com/aging-brains-blend-memories-together-instead-of-forgetting-them-study-finds/,287,mdp2021
2026-09-03T10:24:39.580394+00:00,Wendell Berry has died,https://www.nytimes.com/2026/08/31/us/wendell-berry-dead.html,190,Curiositry
2026-09-03T10:24:39.580394+00:00,Qantas Airbus A380 engine failure in 2010 (2023),https://admiralcloudberg.medium.com/a-matter-of-millimeters-the-story-of-qantas-flight-32-bdaa62dc98e7,141,gumby
2026-09-03T10:24:39.580394+00:00,Engineering of the fastest WebAssembly interpreters,https://wasmi-labs.github.io/blog/posts/wasmi-v2.0/,98,herobird
2026-09-03T10:24:39.580394+00:00,Japan halves speed limit to 30km/h on all narrow city streets,https://www.theguardian.com/world/2026/sep/02/japan-new-speed-limit-30kmh-narrow-city-streets,13,haunter
2026-09-03T10:24:39.580394+00:00,Async Rust vs RTOS showdown (2022),https://tweedegolf.nl/en/blog/65/async-rust-vs-rtos-showdown/,97,kooi
2026-09-03T10:24:39.580394+00:00,Exit the Cave,https://turtlespace.blog/p/exit-the-cave,269,akkartik
2026-09-03T10:24:39.580394+00:00,LLMs and Self-Referentiality,https://scottaaronson.blog/?p=10046,52,mavdol04
2026-09-03T10:24:39.580394+00:00,A Selection of Los Alamos Rolodex Business Cards,https://clui.org/collections/los-alamos-business-cards/selection-cards,171,1970-01-01
2026-09-03T10:24:39.580394+00:00,Altair Basic Interpreter Source Code (1975) [pdf],https://images.gatesnotes.com/12514eb8-7b51-008e-41a9-512542cf683b/34d561c8-cf5c-4e69-af47-3782ea11482e/Original-Microsoft-Source-Code.pdf,61,Eridanus2
2026-09-03T10:24:39.580394+00:00,We could save petabytes of cache storage with Zstandard and Pingora,https://blog.cloudflare.com/cache-transcoding/,114,torutofu
2026-09-03T10:24:39.580394+00:00,Poisson Disk Sampling,https://stripeacross.com/posts/poisson-disk-sampling/,167,vismit2000
2026-09-03T10:24:39.580394+00:00,Reasons robotics is hard,https://secondthoughts.ai/p/14-reasons-robotics-is-hard,96,ddp26
2026-09-03T10:24:39.580394+00:00,"Nango (YC W23) is hiring across eng, product and GTM (SF and remote)",https://nango.dev/careers,0,unknown
